PMM_CURVE_DATA
          P,         MX,         MY,
 -33971.566,   9466.827,  -5465.675,
 -33607.695,   9583.142,  -5532.830,
 -33220.247,   9706.996,  -5604.337,
 -32805.773,   9838.824,  -5680.448,
 -32354.415,   9977.251,  -5760.368,
 -31867.867,  10124.548,  -5845.411,
 -31340.724,  10281.103,  -5935.798,
 -30768.212,  10447.762,  -6032.018,
 -30150.672,  10627.523,  -6135.804,
 -29482.520,  10821.977,  -6248.071,
 -28748.356,  11029.578,  -6367.930,
 -27935.947,  11250.175,  -6495.292,
 -27047.654,  11490.266,  -6633.908,
 -26064.326,  11748.805,  -6783.176,
 -24964.288,  12024.058,  -6942.093,
 -23733.296,  12318.569,  -7112.129,
 -22353.508,  12634.892,  -7294.759,
 -20804.705,  12976.669,  -7492.083,
 -19023.082,  13320.828,  -7690.784,
 -17006.292,  13682.838,  -7899.790,
 -14700.924,  14043.398,  -8107.960,
 -12070.996,  14389.649,  -8307.868,
  -9076.832,  14689.447,  -8480.956,
  -5704.617,  14905.897,  -8605.924,
  -1975.744,  14987.977,  -8653.313,
   2043.855,  14987.850,  -8653.239,
   6311.380,  14895.405,  -8599.866,
  10674.708,  14576.087,  -8415.508,
  14966.703,  14057.000,  -8115.813,
  19053.165,  13383.072,  -7726.720,
  22845.824,  12604.237,  -7277.060,
  26319.061,  11774.597,  -6798.067,
  29470.609,  10929.787,  -6310.316,
  32324.660,  10097.074,  -5829.548,
  34892.860,   9287.614,  -5362.206,
  37236.025,   8519.004,  -4918.449,
  39349.555,   7787.099,  -4495.884,
  41289.715,   7099.733,  -4099.033,
  43051.564,   6451.138,  -3724.566,
  44685.339,   5844.529,  -3374.340,
  46189.969,   5274.790,  -3045.402,
  46387.322,   4620.829,  -2667.837,
  47864.695,   4149.729,  -2395.847,
  49230.048,   3700.943,  -2136.740,
  50505.352,   3274.643,  -1890.616,
  51690.633,   2869.206,  -1656.537,
  52791.380,   2483.566,  -1433.888,
  53818.411,   2116.935,  -1222.213,
  54776.978,   1768.246,  -1020.897,
  55675.447,   1436.577,   -829.408,
  56513.840,   1120.820,   -647.106,
  57297.881,    820.116,   -473.494,
  58031.798,    533.611,   -308.080,
  58716.745,    260.482,   -150.390,
  59051.403,      0.000,      0.000,
  59051.403,      0.000,      0.000,
  58423.240,   -259.184,    149.640,
  57735.745,   -530.896,    306.513,
  56998.296,   -815.839,    471.025,
  56213.414,  -1114.877,    643.674,
  55375.685,  -1428.861,    824.954,
  54475.333,  -1758.532,   1015.289,
  53518.549,  -2105.169,   1215.420,
  52490.615,  -2469.450,   1425.738,
  51394.898,  -2852.829,   1647.082,
  50208.425,  -3255.435,   1879.526,
  48937.544,  -3679.004,   2124.074,
  47576.514,  -4124.800,   2381.454,
  46105.640,  -4592.832,   2651.673,
  45949.635,  -5247.416,   3029.597,
  44448.672,  -5813.653,   3356.514,
  42822.438,  -6416.891,   3704.794,
  41064.615,  -7061.122,   4076.741,
  39129.882,  -7743.731,   4470.845,
  37023.428,  -8470.480,   4890.434,
  34694.168,  -9234.852,   5331.744,
  32144.311, -10040.875,   5797.102,
  29312.589, -10871.330,   6276.565,
  26189.652, -11716.861,   6764.733,
  22741.574, -12546.892,   7243.951,
  18976.832, -13329.636,   7695.869,
  14917.646, -14011.115,   8089.321,
  10650.715, -14543.522,   8396.706,
   6305.039, -14880.641,   8591.342,
   2043.912, -14988.469,   8653.597,
  -1975.639, -14987.388,   8652.972,
  -5710.232, -14920.771,   8614.511,
  -9094.117, -14717.620,   8497.222,
 -12100.857, -14425.442,   8328.533,
 -14748.927, -14089.445,   8134.545,
 -17065.873, -13730.962,   7927.574,
 -19099.206, -13374.314,   7721.664,
 -20891.148, -13030.763,   7523.315,
 -22455.547, -12692.740,   7328.157,
 -23844.882, -12376.654,   7145.665,
 -25085.606, -12082.655,   6975.924,
 -26192.176, -11806.595,   6816.541,
 -27186.527, -11549.418,   6668.060,
 -28080.470, -11308.529,   6528.982,
 -28899.470, -11087.704,   6401.489,
