time,value
842,-1.03E+00
843,-1.06E+00
844,-9.83E-01
845,-8.09E-01
846,-5.44E-01
847,-2.16E-01
848,1.44E-01
849,5.05E-01
850,8.41E-01
851,1.13E+00
852,1.37E+00
853,1.52E+00
854,1.58E+00
855,1.52E+00
856,1.34E+00
857,1.04E+00
858,6.53E-01
859,2.18E-01
860,-2.19E-01
861,-6.16E-01
862,-9.50E-01
863,-1.21E+00
864,-1.41E+00
865,-1.54E+00
866,-1.61E+00
867,-1.62E+00
868,-1.56E+00
869,-1.41E+00
870,-1.17E+00
871,-8.43E-01
872,-4.58E-01
873,-4.27E-02
874,3.58E-01
875,6.97E-01
876,9.32E-01
877,1.04E+00
878,1.03E+00
879,9.10E-01
880,7.13E-01
881,4.69E-01
882,2.09E-01
883,-4.08E-02
884,-2.53E-01
885,-4.04E-01
886,-4.85E-01
887,-4.94E-01
888,-4.38E-01
889,-3.28E-01
890,-1.82E-01
891,-1.77E-02
892,1.50E-01
893,3.04E-01
894,4.30E-01
895,5.13E-01
896,5.48E-01
897,5.37E-01
898,4.93E-01
899,4.30E-01
900,3.57E-01
901,2.78E-01
902,1.99E-01
903,1.17E-01
904,2.57E-02
905,-7.99E-02
906,-2.00E-01
907,-3.25E-01
908,-4.31E-01
909,-4.95E-01
910,-5.09E-01
911,-4.76E-01
912,-4.14E-01
913,-3.34E-01
914,-2.46E-01
915,-1.54E-01
916,-6.42E-02
917,1.88E-02
918,9.23E-02
919,1.56E-01
920,2.13E-01
921,2.67E-01
922,3.22E-01
923,3.78E-01
924,4.29E-01
925,4.67E-01
926,4.85E-01
927,4.77E-01
928,4.46E-01
929,3.98E-01
930,3.40E-01
931,2.77E-01
932,2.11E-01
933,1.41E-01
934,7.03E-02
935,-5.90E-03
936,-9.86E-02
937,-2.18E-01
938,-3.63E-01
939,-5.18E-01
940,-6.59E-01
941,-7.59E-01
942,-7.98E-01
943,-7.68E-01
944,-6.78E-01
945,-5.39E-01
946,-3.62E-01
947,-1.62E-01
948,3.90E-02
949,2.14E-01
950,3.43E-01
951,4.17E-01
952,4.35E-01
953,4.06E-01
954,3.52E-01
955,3.01E-01
956,2.76E-01
957,2.85E-01
958,3.14E-01
959,3.31E-01
960,3.07E-01
961,2.23E-01
962,8.06E-02
963,-1.08E-01
964,-3.19E-01
965,-5.21E-01
966,-6.81E-01
967,-7.71E-01
968,-7.74E-01
969,-6.88E-01
970,-5.26E-01
971,-3.15E-01
972,-8.33E-02
973,1.37E-01
974,3.19E-01
975,4.44E-01
976,5.07E-01
977,5.19E-01
978,4.99E-01
979,4.69E-01
980,4.46E-01
981,4.31E-01
982,4.19E-01
983,3.97E-01
984,3.49E-01
985,2.54E-01
986,1.00E-01
987,-1.10E-01
988,-3.63E-01
989,-6.28E-01
990,-8.70E-01
991,-1.05E+00
992,-1.15E+00
993,-1.16E+00
994,-1.07E+00
995,-9.24E-01
996,-7.28E-01
997,-5.10E-01
998,-2.87E-01
999,-7.01E-02
1000,1.39E-01
